"namePlayer","ppg","rpg","apg","fg","fg3","ft"
"Byron Scott",6.65822784810127,1.49367088607595,1.25316455696203,0.430079155672823,0.388297872340426,0.841059602649007
"Grant Long",5.52432432432432,4.02702702702703,1.09189189189189,0.430851063829787,0.25,0.745333333333333
"Dan Schayes",4.10869565217391,2.76086956521739,0.449275362318841,0.409615384615385,0,0.787709497206704
"Sedale Threatt",3.33333333333333,1.14285714285714,1.9047619047619,0.378378378378378,0.4,0.75
"Chris King",0.5,1.375,0.125,0.285714285714286,0,0
"Eric Piatkowski",7.85692068429238,2.30171073094868,1.01555209953344,0.434836780463494,0.405711206896552,0.847120418848168
"Clyde Drexler",18.1893939393939,5.4469696969697,5.57575757575758,0.433605720122574,0.336322869955157,0.778501628664495
"Greg Anthony",6.64810126582278,1.73164556962025,3.25063291139241,0.400710795202132,0.375116063138347,0.709677419354839
"Rik Smits",15.2134387351779,6.09486166007905,1.20553359683794,0.489071038251366,0.142857142857143,0.78125
"Dennis Rodman",4.52352941176471,14.7823529411765,2.61176470588235,0.43015214384509,0.2,0.547619047619048
"Luc Longley",8.06324110671937,5.07509881422925,1.70355731225296,0.458356015242243,0,0.777292576419214
"Doug West",5.48554913294798,1.97109826589595,1.35260115606936,0.433001107419712,0.277777777777778,0.737864077669903
"Jim McIlvaine",2.98496240601504,3.40977443609023,0.315789473684211,0.447332421340629,0.1,0.530534351145038
"Lorenzo Williams",2.07317073170732,2.92682926829268,0.195121951219512,0.701754385964912,0,0.555555555555556
"Clifford Rozier",4.0625,5,0.645833333333333,0.455555555555556,0,0.5
"Eric Riley",2.93243243243243,3.13513513513514,0.472972972972973,0.444444444444444,0,0.73134328358209
"Sarunas Marciulionis",6.82352941176471,1.76470588235294,1.47058823529412,0.376237623762376,0.366666666666667,0.805555555555556
"Greg Graham",3.20588235294118,0.411764705882353,0.5,0.391304347826087,0.264705882352941,0.666666666666667
"Brad Lohaus",1.93333333333333,1.26666666666667,0.4,0.305555555555556,0.285714285714286,0.333333333333333
"Monty Williams",6.9765625,3.015625,1.26822916666667,0.485740570377185,0.148148148148148,0.674251497005988
